Source Form	Canonical Form	Category	First Occurrence	Language or Script	Preserve Exactly	Review Status	Notes
ROGER TEMAM	ROGER TEMAM	author	PDF 1	Latin	true	reviewed	Capitalization preserved from the source cover
Navier	Navier	eponym	PDF 1	Latin	true	reviewed	Preserved in Navier--Stokes
Stokes	Stokes	eponym	PDF 1	Latin	true	reviewed	Preserved in Navier--Stokes
Jean Leray	Jean Leray	dedicatee and cited person	PDF 6	Latin	true	reviewed	Preserved exactly
R. Temam	R. Temam	cited person	PDF 10	Latin	true	reviewed	Initial and spacing preserved
C. Foias	C. Foias	cited person	PDF 10	Latin	true	reviewed	Initial and spacing preserved
O. Manley	O. Manley	cited person	PDF 11	Latin	true	reviewed	Initial and spacing preserved
R. Rosa	R. Rosa	cited person	PDF 11	Latin	true	reviewed	Initial and spacing preserved
Susan Friedlander	Susan Friedlander	cited person	PDF 11	Latin	true	reviewed	Preserved exactly
Sergei Gelfand	Sergei Gelfand	cited person	PDF 11	Latin	true	reviewed	Preserved exactly
Didier Bresch	Didier Bresch	cited person	PDF 11	Latin	true	reviewed	Preserved exactly
Brian Ewald	Brian Ewald	cited person	PDF 11	Latin	true	reviewed	Preserved exactly
Olivier Goubet	Olivier Goubet	cited person	PDF 11	Latin	true	reviewed	Preserved exactly
Changbing Hu	Changbing Hu	cited person	PDF 11	Latin	true	reviewed	Preserved exactly
François Jauberteau	François Jauberteau	cited person	PDF 11	Latin	true	reviewed	Accent preserved exactly
Jean-Michel Rakotoson	Jean-Michel Rakotoson	cited person	PDF 11	Latin	true	reviewed	Hyphen preserved exactly
Jie Shen	Jie Shen	cited person	PDF 11	Latin	true	reviewed	Preserved exactly
Shouhong Wang	Shouhong Wang	cited person	PDF 11	Latin	true	reviewed	Preserved exactly
Xiaoming Wang	Xiaoming Wang	cited person	PDF 11	Latin	true	reviewed	Preserved exactly
Mohammed Ziane	Mohammed Ziane	cited person	PDF 11	Latin	true	reviewed	Preserved exactly
Jacques-Louis Lions	Jacques-Louis Lions	cited person	PDF 11	Latin	true	reviewed	Hyphen preserved exactly
Arlett Williamson	Arlett Williamson	contributor	PDF 15	Latin	true	reviewed	Preserved exactly
J. Osborn	J. Osborn	contributor	PDF 15	Latin	true	reviewed	Initial and spacing preserved
J. Sather	J. Sather	contributor	PDF 15	Latin	true	reviewed	Initial and spacing preserved
P. Wolfe	P. Wolfe	contributor	PDF 15	Latin	true	reviewed	Initial and spacing preserved
Mrs Pelissier	Mrs Pelissier	contributor	PDF 15	Latin	true	reviewed	Honorific preserved exactly
Fortin	Fortin	contributor	PDF 15	Latin	true	reviewed	Preserved exactly
Thomasset	Thomasset	contributor	PDF 15	Latin	true	reviewed	Preserved exactly
Roger Temam	Roger Temam	author signature	PDF 15	Latin	true	reviewed	Capitalization preserved exactly
Fourier	Fourier	eponym	PDF 10	Latin	true	reviewed	Preserved in Fourier series
Euler	Euler	eponym	PDF 10	Latin	true	reviewed	Preserved in Euler equations
Gevrey	Gevrey	eponym	PDF 10	Latin	true	reviewed	Preserved in Gevrey regularity
Riemann	Riemann	eponym	PDF 14	Latin	true	reviewed	Preserved in Riemann manifolds
Reynolds	Reynolds	eponym	PDF 15	Latin	true	reviewed	Preserved in Reynolds number
Euclidean	Euclidean	eponym	PDF 16	Latin	true	reviewed	Preserved in Euclidean space
Lebesgue	Lebesgue	eponym	PDF 17	Latin	true	reviewed	Preserved in Lebesgue measure
Banach	Banach	eponym	PDF 17	Latin	true	reviewed	Preserved in Banach space
Hilbert	Hilbert	eponym	PDF 18	Latin	true	reviewed	Preserved in Hilbert space
Sobolev	Sobolev	eponym	PDF 17	Latin	true	reviewed	Preserved in Sobolev space
Poincaré	Poincaré	eponym	PDF 18	Latin	true	reviewed	Accent preserved in Poincaré inequality
Lions	Lions	cited person	PDF 19	Latin	true	reviewed	Preserved exactly
Magenes	Magenes	cited person	PDF 19	Latin	true	reviewed	Preserved exactly
Dirac	Dirac	eponym	PDF 20	Latin	true	reviewed	Preserved in Dirac distribution
Schwarz	Schwarz	eponym	PDF 22	Latin	true	reviewed	Preserved in Schwarz inequality
Neumann	Neumann	eponym	PDF 23	Latin	true	reviewed	Preserved in Neumann problem
de Rham	de Rham	cited person	PDF 25	Latin	true	reviewed	Capitalization and spacing preserved
J.L. Lions	J.L. Lions	cited person	PDF 25	Latin	true	reviewed	Initials and spacing preserved
X. Wang	X. Wang	cited person	PDF 25	Latin	true	reviewed	Initial and spacing preserved
Deny	Deny	cited person	PDF 25	Latin	true	reviewed	Preserved exactly
Stampacchia	Stampacchia	cited person	PDF 26	Latin	true	reviewed	Preserved exactly
J. Nečas	J. Nečas	cited person	PDF 26	Latin	true	reviewed	Accent, initial and spacing preserved
J.G. Heywood	J.G. Heywood	cited person	PDF 29	Latin	true	reviewed	Initials and spacing preserved
Ladyzhenskaya	Ladyzhenskaya	cited person	PDF 29	Latin	true	reviewed	Preserved exactly
Solonnikov	Solonnikov	cited person	PDF 29	Latin	true	reviewed	Preserved exactly
L. Tartar	L. Tartar	cited person	PDF 29	Latin	true	reviewed	Initial and spacing preserved
J. Leray	J. Leray	cited person	PDF 31	Latin	true	reviewed	Initial and spacing preserved
O.A. Ladyzhenskaya	O.A. Ladyzhenskaya	cited person	PDF 31	Latin	true	reviewed	Initials and spacing preserved
V.A. Solonnikov	V.A. Solonnikov	cited person	PDF 31	Latin	true	reviewed	Initials and spacing preserved
Agmon	Agmon	cited person	PDF 38	Latin	true	reviewed	Preserved in Agmon--Douglis--Nirenberg
