Source Form	Canonical Form	Category	First Occurrence	Language or Script	Preserve Exactly	Review Status	Notes
Susanne C. Brenner	Susanne C. Brenner	author	PDF 1	Latin	true	reviewed	Preserved from cover
L. Ridgway Scott	L. Ridgway Scott	author	PDF 1	Latin	true	reviewed	Preserved from cover
J.E. Marsden	J.E. Marsden	series editor	PDF 2	Latin	true	reviewed	Preserved from source
L. Sirovich	L. Sirovich	series editor	PDF 2	Latin	true	reviewed	Preserved from source
S.S. Antman	S.S. Antman	series editor	PDF 2	Latin	true	reviewed	Preserved from source
G. Iooss	G. Iooss	series advisor	PDF 2	Latin	true	reviewed	Preserved from source
P. Holmes	P. Holmes	series advisor	PDF 2	Latin	true	reviewed	Preserved from source
D. Barkley	D. Barkley	series advisor	PDF 2	Latin	true	reviewed	Preserved from source
M. Dellnitz	M. Dellnitz	series advisor	PDF 2	Latin	true	reviewed	Preserved from source
P. Newton	P. Newton	series advisor	PDF 2	Latin	true	reviewed	Preserved from source
FEniCS	FEniCS	project name	PDF 16	Latin	true	reviewed	Capitalization preserved
Hilbert	Hilbert	eponym	PDF 17	Latin	true	reviewed	Preserved in Hilbert space
Dirichlet	Dirichlet	eponym	PDF 18	Latin	true	reviewed	Preserved in boundary-condition name
Neumann	Neumann	eponym	PDF 18	Latin	true	reviewed	Preserved in boundary-condition name
Cantor	Cantor	eponym	PDF 19	Latin	true	reviewed	Preserved in Cantor function
Sobolev	Sobolev	eponym	PDF 19	Latin	true	reviewed	Preserved in Sobolev space and inequality
Ritz-Galerkin	Ritz-Galerkin	eponym	PDF 18	Latin	true	reviewed	Source hyphen and name order preserved
Schwarz	Schwarz	eponym	PDF 20	Latin	true	reviewed	Preserved in Schwarz inequality
Kronecker	Kronecker	eponym	PDF 22	Latin	true	reviewed	Preserved in Kronecker delta
Rolle	Rolle	eponym	PDF 23	Latin	true	reviewed	Preserved in Rolle theorem
Taylor	Taylor	eponym	PDF 24	Latin	true	reviewed	Preserved in Taylor theorem
Spijker	Spijker	cited person	PDF 25	Latin	true	reviewed	Preserved exactly
Kreiss	Kreiss	cited person	PDF 25	Latin	true	reviewed	Preserved exactly
Bagheri	Bagheri	cited person	PDF 25	Latin	true	reviewed	Preserved exactly
Scott	Scott	cited person	PDF 25	Latin	true	reviewed	Preserved exactly
Zhang	Zhang	cited person	PDF 25	Latin	true	reviewed	Preserved exactly
Green	Green	eponym	PDF 27	Latin	true	reviewed	Preserved in Green function
DeVore	DeVore	cited person	PDF 28	Latin	true	reviewed	Internal capitalization preserved
Howard	Howard	cited person	PDF 28	Latin	true	reviewed	Preserved exactly
Micchelli	Micchelli	cited person	PDF 28	Latin	true	reviewed	Preserved exactly
